Campaign,Channel,Date,Region,Sales Rep,AVG Deal Size,Clicks,Conversion Rate,Conversions,CPC,CTR,Impressions,Revenue,ROAS,Spend
Campaign E,Facebook Ads,8/22/2023,LATAM,Eva,110.014407895,589,0.258064516,152,2.750645161,0.025398879,23190,16722.19,10.321511237,1620.13
Campaign E,Email,6/21/2023,APAC,Bob,110.014444444,2585,0.038297872,99,0.188653772,0.899130435,2875,10891.43,22.333606742,487.67
Campaign B,Email,6/1/2023,Europe,Alice,110.014429825,871,0.523536165,456,1.325671642,0.035730402,24377,50166.58,43.447058008,1154.66
Campaign B,Organic,11/11/2023,LATAM,Diana,110.014421296,1511,0.285903375,432,0.987981469,0.031652597,47737,47526.23,31.836117735,1492.84
Campaign A,Facebook Ads,6/9/2023,North America,Eva,110.014451613,1138,0.136203866,155,1.116318102,0.226107689,5033,17052.24,13.423049978,1270.37
Campaign E,Email,4/6/2023,North America,Bob,110.015,405,0.014814815,6,1.129012346,0.010328734,39211,660.09,1.443608529,457.25
Campaign C,Email,8/21/2023,LATAM,Eva,110.014421053,284,1.338028169,380,2.729683099,0.015457465,18373,41805.48,53.926550830,775.23
Campaign E,Facebook Ads,6/29/2023,LATAM,Diana,110.014230769,2324,0.011187608,26,0.683820998,0.489881956,4744,2860.37,1.799880443,1589.2
Campaign C,Facebook Ads,4/23/2023,North America,Diana,110.014426667,1598,0.234668335,375,0.721545682,0.061473360,25995,41255.41,35.779997051,1153.03
Campaign D,Email,11/14/2023,Europe,Carlos,110.014416404,2146,0.147716682,317,0.051230196,0.119374757,17977,34874.57,317.214571585,109.94
Campaign E,Facebook Ads,2/21/2023,APAC,Frank,110.014417178,167,2.928143713,489,9.256766467,0.004999701,33402,53797.05,34.800275571,1545.88
Campaign D,Email,9/25/2023,Europe,Frank,110.014427711,2151,0.154346815,332,0.077680149,0.060519948,35542,36524.79,218.593512478,167.09
Campaign B,Email,10/22/2023,LATAM,Bob,110.014545455,1723,0.006384214,11,0.880377249,0.147884302,11651,1210.16,0.797790216,1516.89
Campaign B,Organic,4/23/2023,Europe,Diana,110.014428571,2662,0.078888054,210,0.182084899,0.076708066,34703,23103.03,47.663613295,484.71
Campaign A,Google Ads,4/11/2023,North America,Carlos,110.014414414,1117,0.397493286,444,1.719194270,0.077596388,14395,48846.4,25.436328983,1920.34
Campaign E,Email,4/23/2023,LATAM,Carlos,110.014432718,2150,0.176279070,379,0.371669767,0.069787068,30808,41695.47,52.178690761,799.09
Campaign D,LinkedIn,3/22/2023,APAC,Eva,110.014417582,607,0.749588138,455,1.188088962,0.016153928,37576,50056.56,69.410208411,721.17
Campaign C,Google Ads,7/6/2023,North America,Eva,110.014406780,1865,0.063270777,118,0.205302949,0.105278013,17715,12981.7,33.904515657,382.89
Campaign B,Google Ads,4/23/2023,North America,Carlos,110.014420290,2055,0.134306569,276,0.331216545,0.045255346,45409,30363.98,44.610269595,680.65
Campaign B,Google Ads,1/2/2023,APAC,Eva,110.014367816,2965,0.029342327,87,0.595494098,0.117165890,25306,9571.25,5.420838903,1765.64
Campaign C,Organic,5/10/2023,APAC,Diana,110.014426230,447,0.409395973,183,4.458702461,0.022254306,20086,20132.64,10.101473126,1993.04
Campaign D,Email,8/8/2023,Europe,Alice,110.014439252,724,0.295580110,214,1.104682320,0.047086368,15376,23543.09,29.436589605,799.79
Campaign D,Organic,2/23/2023,LATAM,Diana,110.014423077,436,1.073394495,468,2.184311927,0.063289302,6889,51486.75,54.062276870,952.36
Campaign E,Email,12/9/2023,APAC,Carlos,110.014427711,2208,0.150362319,332,0.666634964,0.056874968,38822,36524.79,24.814216709,1471.93
Campaign E,Organic,8/12/2023,APAC,Carlos,110.014453125,2711,0.047215050,128,0.657974917,0.072032097,37636,14081.85,7.894431457,1783.77
Campaign A,Organic,8/13/2023,LATAM,Diana,110.014412371,2114,0.229422895,485,0.580312204,0.097942921,21584,53356.99,43.493527772,1226.78
Campaign B,LinkedIn,5/6/2023,APAC,Eva,110.014444444,933,0.125401929,117,0.904501608,0.026200505,35610,12871.69,15.252624719,843.9
Campaign E,Organic,5/10/2023,APAC,Eva,110.014375,590,0.027118644,16,1.498271186,0.053355037,11058,1760.23,1.991255458,883.98
Campaign D,Facebook Ads,2/22/2023,Europe,Frank,110.014384615,220,0.590909091,130,6.462136364,0.021780022,10101,14301.87,10.059908418,1421.67
Campaign C,LinkedIn,6/21/2023,North America,Carlos,110.014385965,2506,0.022745411,57,0.042342378,0.185670890,13497,6270.82,59.097351805,106.11
Campaign D,Organic,8/6/2023,North America,Bob,110.014417910,789,0.424588086,335,1.618783270,0.139448568,5658,36854.83,28.855506491,1277.22
Campaign B,Google Ads,6/9/2023,North America,Frank,110.014427481,1451,0.270847691,393,0.534417643,0.117195703,12381,43235.67,55.756306097,775.44
Campaign D,Facebook Ads,7/17/2023,North America,Eva,110.014425087,2955,0.097123519,287,0.544490694,0.071528854,41312,31574.14,19.623821451,1608.97
Campaign A,Facebook Ads,9/4/2023,APAC,Diana,110.014444444,2327,0.061882252,144,0.118899871,0.056091211,41486,15842.08,57.257770710,276.68
Campaign B,Facebook Ads,11/20/2023,LATAM,Eva,110.014419753,168,2.410714286,405,7.2475,0.003528004,47619,44555.84,36.593767966,1217.58
Campaign C,LinkedIn,7/22/2023,LATAM,Diana,110.014416244,2881,0.136758070,394,0.351909059,0.158697808,18154,43345.68,42.753543424,1013.85
Campaign A,Organic,7/3/2023,Europe,Frank,110.014455446,2562,0.039422326,101,0.515386417,0.124738303,20539,11111.46,8.415095197,1320.42
Campaign B,Organic,5/3/2023,Europe,Carlos,110.014444444,2201,0.004089050,9,0.101417537,0.172262659,12777,990.13,4.435668847,223.22
Campaign C,Google Ads,9/12/2023,APAC,Eva,110.014426230,2795,0.021824687,61,0.430042934,0.078963725,35396,6710.88,5.583234191,1201.97
Campaign A,Google Ads,10/21/2023,LATAM,Diana,110.014423077,2045,0.203422983,416,0.570572127,0.065183438,31373,45766,39.222844998,1166.82
Campaign A,Facebook Ads,10/7/2023,LATAM,Carlos,110.014408284,1755,0.192592593,338,0.663960114,0.051384904,34154,37184.87,31.911495387,1165.25
Campaign B,Google Ads,11/21/2023,North America,Bob,110.014383562,1772,0.041196388,73,0.703515801,0.252026739,7031,8031.05,6.442208193,1246.63
Campaign E,LinkedIn,4/8/2023,APAC,Diana,110.014426230,2272,0.053697183,122,0.609722711,0.078352933,28997,13421.76,9.688772748,1385.29
Campaign A,Organic,7/17/2023,APAC,Frank,110.014421053,2842,0.133708656,380,0.573356791,0.382040597,7439,41805.48,25.655718389,1629.48
Campaign A,Facebook Ads,8/28/2023,North America,Bob,110.014444444,1747,0.036061820,63,0.350692616,0.073449653,23785,6930.91,11.312816244,612.66
Campaign C,Google Ads,5/24/2023,APAC,Bob,110.014324324,1494,0.024765730,37,1.116191432,0.103807671,14392,4070.53,2.440965705,1667.59
Campaign D,LinkedIn,4/7/2023,APAC,Alice,110.014409938,1809,0.177998894,322,0.578601437,0.060972732,29669,35424.64,33.844442958,1046.69
Campaign B,LinkedIn,7/20/2023,Europe,Eva,110.014444444,1574,0.034307497,54,0.156550191,0.052573566,29939,5940.78,24.109329978,246.41
Campaign B,Google Ads,5/4/2023,LATAM,Diana,110.014408602,714,0.521008403,372,0.295868347,0.217550274,3282,40925.36,193.729514793,211.25
Campaign E,Organic,7/6/2023,APAC,Bob,110.014421907,82,6.012195122,493,8.964024390,0.002301819,35624,54237.11,73.786966873,735.05
Campaign E,Google Ads,11/22/2023,Europe,Alice,110.014347826,2152,0.010687732,23,0.739451673,0.043529269,49438,2530.33,1.590102432,1591.3
Campaign B,Facebook Ads,12/15/2023,LATAM,Frank,110.014403670,2616,0.083333333,218,0.552213303,0.103138306,25364,23983.14,16.602039333,1444.59
Campaign E,Google Ads,9/16/2023,North America,Carlos,110.014427861,2853,0.070452156,201,0.560241851,0.951634423,2998,22112.9,13.834656556,1598.37
Campaign C,LinkedIn,5/28/2023,Europe,Diana,110.014412533,2109,0.181602655,383,0.513423423,0.064485553,32705,42135.52,38.913124186,1082.81
Campaign B,Google Ads,9/9/2023,Europe,Bob,110.014427313,1601,0.283572767,454,0.584871955,0.040796045,39244,49946.55,53.340043572,936.38
Campaign E,Organic,12/12/2023,LATAM,Eva,110.014419087,769,0.626788036,482,0.494356307,0.073743767,10428,53026.95,139.485874369,380.16
Campaign B,Email,5/27/2023,North America,Alice,110.014509804,2652,0.019230769,51,0.272839367,0.068996019,38437,5610.74,7.754246307,723.57
Campaign D,Google Ads,5/28/2023,Europe,Bob,110.014444444,2470,0.069230769,171,0.374348178,0.185212957,13336,18812.47,20.345723741,924.64
Campaign A,Organic,12/18/2023,APAC,Eva,110.014429825,533,0.855534709,456,0.503452158,0.051537420,10342,50166.58,186.951553999,268.34
Campaign B,Organic,7/18/2023,APAC,Bob,110.014436860,1022,0.286692759,293,0.507984344,0.025029389,40832,32234.23,62.089201788,519.16
Campaign A,LinkedIn,11/4/2023,APAC,Diana,110.014413793,2720,0.053308824,145,0.454643382,0.322045939,8446,15952.09,12.899646620,1236.63
Campaign E,Organic,5/8/2023,North America,Diana,110.014431818,356,0.247191011,88,4.207191011,0.009037368,39392,9681.27,6.463832657,1497.76
Campaign A,Organic,2/8/2023,Europe,Diana,110.014408602,506,0.367588933,186,3.946363636,0.059803806,8461,20462.68,10.247428463,1996.86
Campaign B,Organic,12/4/2023,APAC,Frank,110.014430380,2257,0.175011077,395,0.829827204,0.063422036,35587,43455.7,23.202112210,1872.92
Campaign D,Organic,12/26/2023,North America,Frank,110.014457831,380,0.218421053,83,3.475973684,0.032997569,11516,9131.2,6.913019449,1320.87
Campaign E,Facebook Ads,5/9/2023,APAC,Alice,110.014429224,2873,0.076226940,219,0.313390184,0.194792867,14749,24093.16,26.759176783,900.37
Campaign B,Facebook Ads,9/24/2023,LATAM,Diana,110.014444444,274,0.065693431,18,4.776423358,0.014799611,18514,1980.26,1.513104207,1308.74
Campaign E,LinkedIn,5/31/2023,Europe,Eva,110.014429224,2826,0.077494692,219,0.563602265,0.077581947,36426,24093.16,15.126863142,1592.74
Campaign C,Google Ads,10/25/2023,Europe,Bob,110.014422604,1529,0.266187050,407,0.212452583,0.041027155,37268,44775.87,137.839767270,324.84
Campaign A,Organic,4/9/2023,North America,Carlos,110.014393939,1132,0.116607774,132,0.776342756,0.043622351,25950,14521.9,16.524316697,878.82
Campaign C,Google Ads,9/20/2023,North America,Eva,110.014426752,693,0.453102453,314,2.446782107,0.019310076,35888,34544.53,20.372801689,1695.62
Campaign B,Google Ads,9/9/2023,Europe,Frank,110.014428274,665,0.723308271,481,1.247037594,0.017598179,37788,52916.94,63.810703261,829.28
Campaign D,LinkedIn,5/24/2023,APAC,Frank,110.014404762,244,1.032786885,252,4.862950820,0.021760457,11213,27723.63,23.364709749,1186.56
Campaign E,Organic,12/12/2023,APAC,Eva,110.014411765,538,0.758364312,408,2.261635688,0.014529938,37027,44885.88,36.889674217,1216.76
Campaign A,Organic,4/22/2023,LATAM,Frank,110.014545455,2254,0.014640639,33,0.199866903,0.077694668,29011,3630.48,8.058779134,450.5
Campaign E,Email,3/1/2023,APAC,Diana,110.014436620,2707,0.104913188,284,0.291189509,0.061734589,43849,31244.1,39.637297812,788.25
Campaign B,Google Ads,1/2/2023,North America,Alice,110.014415205,1299,0.263279446,342,0.566258661,0.036497991,35591,37624.93,51.150713052,735.57
Campaign E,Google Ads,10/31/2023,North America,Bob,110.014427245,2509,0.128736548,323,0.059693105,0.133046983,18858,35534.66,237.261534353,149.77
Campaign A,Facebook Ads,9/11/2023,APAC,Alice,110.014417476,1152,0.178819444,206,0.126701389,0.058697646,19626,22662.97,155.268361195,145.96
Campaign B,Email,5/20/2023,North America,Bob,110.014410959,1197,0.304928989,365,1.403692565,0.082740029,14467,40155.26,23.898810870,1680.22
Campaign E,Facebook Ads,2/6/2023,Europe,Bob,110.014426230,2568,0.023753894,61,0.240977414,0.063006036,40758,6710.88,10.844464554,618.83
Campaign D,Facebook Ads,6/9/2023,Europe,Alice,110.014419192,1291,0.306738962,396,0.839930287,0.312288341,4134,43565.71,40.176797160,1084.35
Campaign B,Facebook Ads,1/9/2023,APAC,Eva,110.014414414,565,0.392920354,222,1.181557522,0.031843544,17743,24423.2,36.584678990,667.58
Campaign B,LinkedIn,8/21/2023,Europe,Bob,110.014393939,1675,0.039402985,66,1.126740299,0.101922843,16434,7260.95,3.847288970,1887.29
Campaign D,LinkedIn,4/9/2023,Europe,Alice,110.014409938,1177,0.136788445,161,0.503534410,0.024131215,48775,17712.32,29.886140452,592.66
Campaign C,Facebook Ads,5/27/2023,LATAM,Bob,110.014417476,442,0.466063348,206,2.073190045,0.039348349,11233,22662.97,24.731783707,916.35
Campaign A,Email,10/31/2023,LATAM,Carlos,110.014285714,680,0.030882353,21,2.585573529,0.317608594,2141,2310.3,1.314021807,1758.19
Campaign C,Google Ads,7/27/2023,Europe,Eva,110.014417178,1897,0.171850290,326,0.895977860,0.099742363,19019,35864.7,21.100978425,1699.67
Campaign E,Email,5/11/2023,APAC,Diana,110.014,2705,0.003696858,10,0.167685767,0.126496446,21384,1100.14,2.425406204,453.59
Campaign D,Organic,6/1/2023,LATAM,Bob,110.014354839,1029,0.060252672,62,1.579222546,0.023438034,43903,6820.89,4.197419109,1625.02
Campaign C,LinkedIn,2/23/2023,North America,Carlos,110.014407295,483,0.681159420,329,2.009440994,0.010335088,46734,36194.74,37.292635180,970.56
Campaign B,Google Ads,4/30/2023,North America,Diana,110.014423077,2637,0.157755025,416,0.385908229,0.071022651,37129,45766,44.972681891,1017.64
Campaign E,Google Ads,6/10/2023,North America,Diana,110.014409938,327,0.984709480,322,1.081376147,0.013643760,23967,35424.64,100.179972286,353.61
Campaign E,Organic,4/26/2023,APAC,Bob,110.014393064,282,0.613475177,173,0.897659574,0.006778357,41603,19032.49,75.185628506,253.14
Campaign C,Organic,3/16/2023,Europe,Alice,110.014420131,1602,0.285268414,457,0.925767790,0.131613539,12172,50276.59,33.900120020,1483.08
Campaign C,Facebook Ads,4/23/2023,North America,Bob,110.014418605,1644,0.052311436,86,0.634598540,0.094537090,17390,9461.24,9.068744728,1043.28
Campaign D,LinkedIn,4/14/2023,APAC,Carlos,110.014414226,1163,0.411006019,478,0.799673259,0.272556831,4267,52586.89,56.543827014,930.02
Campaign A,LinkedIn,12/6/2023,LATAM,Diana,110.014427966,2459,0.191947946,472,0.604339162,0.060968958,40332,51926.81,34.942371490,1486.07
Campaign C,Email,9/11/2023,Europe,Bob,110.014428904,75,5.72,429,20.726266667,0.002760702,27167,47196.19,30.361595914,1554.47
Campaign C,Facebook Ads,8/15/2023,LATAM,Alice,110.014416476,1467,0.297886844,437,0.273980913,0.065749373,22312,48076.3,119.613614311,401.93
Campaign B,Facebook Ads,4/22/2023,APAC,Bob,110.014439462,2604,0.085637481,223,0.483652074,0.090291262,28840,24533.22,19.479621734,1259.43
Campaign E,Facebook Ads,4/9/2023,North America,Eva,110.014419890,2364,0.076565144,181,0.151087140,0.118259130,19990,19912.61,55.751070919,357.17
Campaign A,Facebook Ads,6/2/2023,North America,Alice,110.014423077,510,0.407843137,208,2.995313725,0.011288430,45179,22883,14.979608670,1527.61
Campaign B,LinkedIn,12/15/2023,APAC,Carlos,110.0144,2553,0.029377203,75,0.528088523,0.369678540,6906,8251.08,6.120025812,1348.21
Campaign D,LinkedIn,12/4/2023,North America,Diana,110.014424552,1141,0.342681858,391,1.680604733,0.022913487,49796,43015.64,22.432370135,1917.57
Campaign D,Facebook Ads,7/13/2023,Europe,Bob,110.014407407,1056,0.255681818,270,0.218768939,0.025520191,41379,29703.89,128.577136179,231.02
Campaign C,Email,11/6/2023,APAC,Alice,110.014411765,2960,0.034459459,102,0.070405405,0.161775154,18297,11221.47,53.845825336,208.4
Campaign C,Google Ads,6/12/2023,LATAM,Eva,110.014412607,2044,0.170743640,349,0.311232877,0.678844238,3011,38395.03,60.354360538,636.16
Campaign D,Google Ads,7/27/2023,APAC,Alice,110.014406780,540,0.546296296,295,1.106,0.011996268,45014,32454.25,54.340382426,597.24
Campaign C,Email,6/18/2023,Europe,Frank,110.014433962,1122,0.188948307,212,0.507361854,0.023592245,47558,23323.06,40.970839335,569.26
Campaign A,Facebook Ads,6/10/2023,Europe,Eva,110.015,2661,0.002254791,6,0.684659902,0.208902496,12738,660.09,0.362312556,1821.88
Campaign C,LinkedIn,3/9/2023,APAC,Carlos,110.014453125,265,0.483018868,128,2.166566038,0.008893513,29797,14081.85,24.526857561,574.14
Campaign E,Google Ads,10/16/2023,APAC,Diana,110.014436620,1773,0.160180485,284,0.347828539,0.036558209,48498,31244.1,50.663369548,616.7
Campaign C,Organic,10/4/2023,North America,Carlos,110.014358974,1642,0.047503045,78,0.939622412,0.135478548,12120,8581.12,5.561826737,1542.86
Campaign B,Organic,10/31/2023,Europe,Bob,110.014411765,2656,0.064006024,170,0.359378765,0.271936111,9767,18702.45,19.593770626,954.51
Campaign A,Email,5/15/2023,APAC,Alice,110.014230769,208,0.125,26,7.575721154,0.008720443,23852,2860.37,1.815243535,1575.75
Campaign B,Facebook Ads,7/14/2023,APAC,Frank,110.014430380,2586,0.061098221,158,0.086697602,0.175882473,14703,17382.28,77.530240856,224.2
Campaign B,Google Ads,5/8/2023,Europe,Eva,110.014431555,735,0.586394558,431,1.396448980,0.381026439,1929,47416.22,46.197079083,1026.39
Campaign E,Facebook Ads,2/2/2023,APAC,Eva,110.014424379,2891,0.153234175,443,0.056682809,0.223226006,12951,48736.39,297.408860682,163.87
Campaign A,Google Ads,6/25/2023,North America,Alice,110.014414716,1826,0.163745893,299,0.119956188,0.067532083,27039,32894.31,150.174899562,219.04
Campaign A,Email,1/22/2023,Europe,Frank,110.014439462,2102,0.106089439,223,0.866902950,0.042367928,49613,24533.22,13.463294974,1822.23
Campaign A,Email,8/26/2023,North America,Alice,110.014409938,1893,0.085050185,161,0.192588484,0.062057435,30504,17712.32,48.584140220,364.57
Campaign A,Organic,6/7/2023,North America,Bob,110.014428858,2458,0.203010578,499,0.452237592,0.133311639,18438,54897.2,49.385750270,1111.6
Campaign A,Facebook Ads,2/7/2023,North America,Carlos,110.014401709,2556,0.091549296,234,0.344710485,0.051620721,49515,25743.37,29.217971126,881.08
Campaign E,Organic,8/18/2023,North America,Eva,110.014583333,2345,0.010234542,24,0.324072495,0.347716489,6744,2640.35,3.474373314,759.95
Campaign C,Facebook Ads,12/31/2023,Europe,Bob,110.014425887,1639,0.292251373,479,1.104136669,0.084992740,19284,52696.91,29.119463110,1809.68
Campaign B,Organic,2/20/2023,North America,Carlos,110.014444444,1746,0.025773196,45,0.081019473,0.040214662,43417,4950.65,34.996818889,141.46
Campaign A,LinkedIn,9/21/2023,North America,Bob,110.014411765,2519,0.175466455,442,0.540373164,0.061818985,40748,48626.37,35.723163385,1361.2
Campaign C,LinkedIn,10/10/2023,APAC,Frank,110.014407895,1996,0.076152305,152,0.967159319,0.247366464,8069,16722.19,8.662327437,1930.45
Campaign C,LinkedIn,1/27/2023,Europe,Eva,110.014464286,2112,0.053030303,112,0.551287879,0.048709610,43359,12321.62,10.582674866,1164.32
Campaign B,LinkedIn,8/14/2023,Europe,Alice,110.014422604,2833,0.143663960,407,0.663593364,0.136208472,20799,44775.87,23.817458882,1879.96
Campaign E,Google Ads,10/4/2023,LATAM,Alice,110.014431818,1195,0.073640167,88,0.166769874,0.034931307,34210,9681.27,48.578804757,199.29
Campaign D,LinkedIn,10/13/2023,Europe,Carlos,110.014414784,2374,0.205139006,487,0.377299916,0.081229043,29226,53577.02,59.815141061,895.71
Campaign D,Email,4/7/2023,Europe,Diana,110.014420485,1631,0.227467811,371,0.364377682,0.288570418,5652,40815.35,68.678024567,594.3
Campaign C,Email,10/11/2023,LATAM,Frank,110.014417178,2550,0.127843137,326,0.583749020,0.100698969,25323,35864.7,24.093553501,1488.56
Campaign B,Google Ads,11/13/2023,Europe,Carlos,110.014425837,2695,0.155102041,418,0.728927644,0.062473921,43138,45986.03,23.408992802,1964.46
Campaign D,LinkedIn,10/31/2023,Europe,Diana,110.014408946,2543,0.123082973,313,0.230990956,0.295800861,8597,34434.51,58.620912140,587.41
Campaign C,LinkedIn,5/27/2023,Europe,Bob,110.014421769,2307,0.127438231,294,0.582110967,0.047969559,48093,32344.24,24.084829440,1342.93
Campaign E,LinkedIn,1/4/2023,Europe,Frank,110.014414634,2811,0.145855567,410,0.169473497,0.073536337,38226,45105.91,94.682738932,476.39
Campaign D,Organic,2/4/2023,LATAM,Bob,110.014434251,2399,0.136306794,327,0.489424760,0.316032143,7591,35974.72,30.639469224,1174.13
Campaign C,Facebook Ads,7/11/2023,Europe,Eva,110.014420290,1982,0.069626640,138,0.495191726,0.073864272,26833,15181.99,15.468623595,981.47
Campaign C,Organic,2/18/2023,Europe,Frank,110.014407583,1807,0.116768124,211,1.077371334,0.140885701,12826,23213.04,11.923628911,1946.81
Campaign A,Facebook Ads,1/17/2023,LATAM,Diana,110.014425087,2100,0.136666667,287,0.598190476,0.076594813,27417,31574.14,25.134644165,1256.2
Campaign E,LinkedIn,6/21/2023,APAC,Eva,110.014407407,1039,0.259865255,270,0.735380173,0.052759864,19693,29703.89,38.876384054,764.06
Campaign A,LinkedIn,8/8/2023,North America,Alice,110.014415584,1591,0.048397234,77,0.199107480,0.105099749,15138,8471.11,26.741303113,316.78
Campaign B,Organic,6/7/2023,APAC,Diana,110.014412371,1166,0.415951973,485,0.332221269,0.367939413,3169,53356.99,137.741668173,387.37
Campaign A,Organic,2/15/2023,LATAM,Carlos,110.014410112,2617,0.136033626,356,0.201795950,0.133820822,19556,39165.13,74.162336679,528.1
Campaign A,Facebook Ads,1/6/2023,North America,Alice,110.014423077,542,0.095940959,52,1.064280443,0.023512060,23052,5720.75,9.917394772,576.84
Campaign D,Email,4/9/2023,LATAM,Alice,110.014424242,669,0.493273543,330,2.565276532,0.091480924,7313,36304.76,21.154524319,1716.17
Campaign C,Facebook Ads,8/21/2023,LATAM,Carlos,110.014430380,2428,0.097611203,237,0.480362438,0.260654858,9315,26073.42,22.355288429,1166.32
Campaign E,Organic,2/6/2023,Europe,Frank,110.014429530,2430,0.183950617,447,0.450386831,0.268924303,9036,49176.45,44.932979423,1094.44
Campaign A,Organic,10/7/2023,North America,Alice,110.014423077,2147,0.048439683,104,0.148141593,0.065501251,32778,11441.5,35.972772433,318.06
Campaign E,Google Ads,12/15/2023,Europe,Diana,110.014444444,1596,0.039473684,63,1.086635338,0.055543955,28734,6930.91,3.996442307,1734.27
Campaign A,Organic,10/29/2023,North America,Eva,110.014427481,912,0.287280702,262,1.615515351,0.037728044,24173,28823.78,19.563430278,1473.35
Campaign B,Google Ads,6/30/2023,LATAM,Alice,110.014412470,1741,0.239517519,417,0.131286617,0.055440563,31403,45876.01,200.708798180,228.57
Campaign A,Email,4/5/2023,LATAM,Diana,110.014429825,1655,0.275528701,456,0.873045317,0.927170868,1785,50166.58,34.719999446,1444.89
Campaign D,Facebook Ads,4/9/2023,APAC,Bob,110.014492754,2369,0.029126214,69,0.478142676,0.331839193,7139,7591,6.701567907,1132.72
Campaign C,Facebook Ads,7/7/2023,North America,Diana,110.014367816,629,0.138314785,87,0.405850556,0.085648148,7344,9571.25,37.493144782,255.28
Campaign B,Google Ads,4/26/2023,Europe,Eva,110.014430380,1940,0.081443299,158,0.500396907,0.097979798,19800,17382.28,17.905662515,970.77
Campaign A,Facebook Ads,7/10/2023,APAC,Diana,110.014423480,1325,0.36,477,0.770505660,0.050242682,26372,52476.88,51.401559378,1020.92
Campaign E,Organic,9/10/2023,APAC,Carlos,110.014407407,2657,0.101618367,270,0.156179902,0.123363358,21538,29703.89,71.580813071,414.97
Campaign B,LinkedIn,6/10/2023,APAC,Eva,110.014408946,2793,0.112065879,313,0.679137129,0.174857572,15973,34434.51,18.153714355,1896.83
Campaign B,Google Ads,9/13/2023,Europe,Frank,110.014457831,1905,0.043569554,83,0.900236220,0.287807826,6619,9131.2,5.324470101,1714.95
Campaign A,Facebook Ads,11/19/2023,APAC,Bob,110.014420063,2543,0.125442391,319,0.539182068,0.071224513,35704,35094.6,25.595198156,1371.14
Campaign B,Google Ads,5/8/2023,Europe,Carlos,110.014415584,1405,0.109608541,154,0.696341637,0.037391883,37575,16942.22,17.316958993,978.36
Campaign E,Google Ads,1/18/2023,APAC,Frank,110.014419134,1212,0.362211221,439,0.728011551,0.029619492,40919,48296.33,54.736023120,882.35
Campaign B,LinkedIn,10/8/2023,Europe,Diana,110.014423077,406,0.128078818,52,3.292733990,0.009384896,43261,5720.75,4.279275910,1336.85
Campaign E,Organic,8/11/2023,LATAM,Eva,110.014425428,1674,0.244324970,409,0.678805257,0.036294257,46123,44995.9,39.597912560,1136.32
Campaign A,Google Ads,2/23/2023,LATAM,Bob,110.014412533,2371,0.161535217,383,0.092079291,0.082567210,28716,42135.52,192.998900696,218.32
Campaign C,Facebook Ads,2/27/2023,LATAM,Carlos,110.014404762,2056,0.122568093,252,0.522256809,0.485363551,4236,27723.63,25.819205409,1073.76
Campaign B,Email,11/19/2023,LATAM,Frank,110.014432624,2408,0.117109635,282,0.677811462,0.142924976,16848,31024.07,19.007866828,1632.17
Campaign C,Google Ads,12/26/2023,LATAM,Frank,110.014416667,919,0.391730141,360,1.058280740,0.274164678,3352,39605.19,40.722618656,972.56
Campaign E,Google Ads,6/23/2023,APAC,Bob,110.014411765,935,0.109090909,102,0.212534759,0.318894952,2932,11221.47,56.46875,198.72
Campaign B,LinkedIn,10/7/2023,APAC,Diana,110.014425837,2051,0.203803023,418,0.777147733,0.172164862,11913,45986.03,28.850721173,1593.93
Campaign D,Organic,4/24/2023,APAC,Bob,110.014482759,2251,0.012883163,29,0.214389160,0.235558811,9556,3190.42,6.611036283,482.59
Campaign C,Email,10/15/2023,Europe,Frank,110.014426559,1463,0.339712919,497,0.404224197,0.065605381,22300,54677.17,92.456914336,591.38
Campaign B,Facebook Ads,12/8/2023,Europe,Alice,110.014409722,1333,0.216054014,288,0.309782446,0.205140043,6498,31684.15,76.728217174,412.94
Campaign C,Email,5/31/2023,Europe,Carlos,110.014415011,669,0.677130045,453,1.087309417,0.057762045,11582,49836.53,68.512297054,727.41
Campaign B,Facebook Ads,5/7/2023,Europe,Bob,110.014423592,932,0.400214592,373,1.650032189,0.019566267,47633,41035.38,26.683950762,1537.83
Campaign A,Organic,6/4/2023,LATAM,Frank,110.014426230,846,0.360520095,305,1.284669031,0.080045416,10569,33554.4,30.873641692,1086.83
Campaign C,Facebook Ads,9/30/2023,LATAM,Diana,110.014444444,2222,0.032403240,72,0.220193519,0.379375107,5857,7921.04,16.189506816,489.27
Campaign D,LinkedIn,4/14/2023,LATAM,Frank,110.014545455,1346,0.008172363,11,1.313432392,1.004477612,1340,1210.16,0.684526099,1767.88
Campaign D,LinkedIn,10/26/2023,North America,Diana,110.014433657,668,0.462574850,309,2.651511976,0.014861287,44949,33994.46,19.192789110,1771.21
Campaign E,LinkedIn,9/3/2023,APAC,Bob,110.014397163,1884,0.074840764,141,0.931050955,0.106045255,17766,15512.03,8.843298558,1754.1
Campaign B,LinkedIn,6/25/2023,Europe,Diana,110.014404762,294,0.571428571,168,1.883367347,0.010835913,27132,18482.42,33.379241841,553.71
Campaign C,Email,2/8/2023,Europe,Eva,110.014367816,2945,0.029541596,87,0.325076401,0.310293963,9491,9571.25,9.997649762,957.35
Campaign E,Organic,6/19/2023,LATAM,Eva,110.014421594,2547,0.152728700,389,0.774040047,2.238137083,1138,42795.61,21.707351837,1971.48
Campaign C,Facebook Ads,9/4/2023,Europe,Eva,110.014436620,979,0.145045965,142,1.600429009,0.720913108,1358,15622.05,9.970545436,1566.82
